cell_id,group,cluster,c_gini,hcluster,e_PC1,e_PC2,e_TSNE1,e_TSNE2,e_UMAP1,e_UMAP2
SRR054574,H,3,0.2562,3,-33.176680661527335,-38.254436922454964,5.8094807,-7.2293158,-6.4243674,17.6003
SRR054575,H,3,0.2426,3,-35.43364261246005,-34.22933421097439,5.38601,-7.301696,-6.096677,16.743694
SRR054576,H,3,0.2336,3,-37.14202844004204,-34.3429482778224,5.7675414,-7.628773,-6.606167,17.241459
SRR054577,H,3,0.2476,3,-35.778115930557554,-33.48504110512714,5.3502316,-7.213742,-6.1056857,16.719374
SRR054578,H,3,0.2454,3,-34.483960234764425,-34.7186675885486,5.300057,-7.403272,-6.288788,16.854347
SRR089401,H,3,0.2312,3,-37.17123808621485,-33.50257030151159,5.6647825,-7.700947,-6.9200277,17.707079
SRR089402,H,3,0.2528,3,-36.2465224907062,-35.87013053806226,5.798471,-7.61982,-6.5516977,17.06392
SRR089403,H,3,0.2398,3,-37.60085186896388,-33.45360990919622,5.4018135,-7.655825,-6.6917167,16.697412
SRR053671,A1,2,0.1842,2,26.840382772846414,45.841964652473784,-3.3022304,-3.6070783,4.761399,-2.5036044
SRR052047,D,1,0.0924,1,-30.9573557276862,18.53391543018222,-1.7384664,-5.160452,5.920592,-3.1960347
SRR052148,D,1,0.0914,1,-30.922744161807035,18.590173807279186,-1.2926009,-4.55687,5.302739,-2.682999
SRR053437,D,1,0.0942,1,-30.93578011068513,18.592878728698842,-1.342971,-4.559452,5.2496552,-3.1210184
SRR053600,D,1,0.127,1,-30.810675798504914,18.61092506477655,0.2247768,-4.1521893,4.7778273,-1.56103
SRR053602,D,1,0.09300000000000001,1,-30.9639345843044,18.592314612302197,-1.2577541,-4.2812214,5.29184,-1.5552953
SRR053604,D,1,0.1044,1,-30.9167649278276,18.52759207635166,-3.0065022,-4.7510886,6.4477744,-3.9816499
SRR053605,D,1,0.0938,1,-30.955301229248825,18.532001025439147,-1.1642154,-4.084957,5.8004746,-1.7827256
SRR053606,D,1,0.1076,1,-31.030706161962616,18.903955596252782,-2.5463634,-5.791508,6.6904283,-3.615205
SRR053607,D,1,0.0962,1,-30.93120329217628,18.593394627958112,-1.0213778,-3.528772,5.3523035,-1.5900615
SRR053608,D,1,0.0896,1,-30.93485184685806,18.607265853459968,-2.201687,-4.7638664,6.730905,-4.041147
SRR053609,D,1,0.1034,1,-31.09170935107545,18.7396497749639,-1.6986082,-5.64541,6.0164394,-2.7650075
SRR053610,D,1,0.0946,1,-30.944242845430388,18.587515550680653,-1.3729352,-4.816171,5.1922894,-2.8862202
SRR053611,D,1,0.0816,1,-30.901624441738143,18.575005316038464,-0.7048145,-4.424252,4.4063845,-2.3110092
SRR053615,D,1,0.0938,1,-30.947740204578796,18.56056119566822,-1.1818521,-4.1564736,5.690236,-1.7018386
SRR053616,D,1,0.1,1,-30.978963322940746,18.55826717046034,-2.1366456,-4.79456,6.416917,-4.277059
SRR053617,D,1,0.0836,1,-30.90196367087894,18.50482752732588,-0.9968749,-3.9413075,5.7005534,-1.4670509
SRR053618,D,1,0.0838,1,-31.070428906420496,18.62414191150687,-2.2101338,-4.6988688,6.129813,-4.017802
SRR053619,D,1,0.0834,1,-30.944825984126968,18.54927637304511,-1.2667241,-4.7119875,5.1558,-2.2636306
SRR053620,D,1,0.0902,1,-30.94589888263614,18.611294330359044,-1.3191752,-4.5626407,5.8518815,-2.3274195
SRR053623,D,1,0.0826,1,-30.965945135633103,18.559296328325328,-2.1941442,-4.8043866,6.4746795,-3.8153684
SRR053624,D,1,0.09,1,-30.939357839838234,18.60212453315378,-1.0201182,-4.5187807,4.6862073,-1.9819927
SRR053629,D,1,0.1016,1,-30.8607303849983,18.557405146060436,-1.8775669,-5.070457,6.296302,-2.9993968
SRR053630,D,1,0.0848,1,-30.96741767032071,18.577500054181964,-2.1706953,-4.8792205,6.274222,-3.6307964
SRR053631,D,1,0.09300000000000001,1,-30.983965987928762,18.61366687303812,-1.3092765,-4.0218306,5.541387,-1.9021487
SRR053632,D,1,0.0984,1,-30.853199226076715,18.570469311780496,-0.7098812,-5.032663,4.5893774,-2.7790418
SRR053633,D,1,0.0888,1,-30.950811064919286,18.593749639225983,-1.3524454,-4.564798,5.201256,-2.5775464
SRR053634,D,1,0.0886,1,-30.9496037020151,18.58291741717801,-1.7733893,-4.6022186,6.2424645,-3.1846752
SRR053635,D,1,0.0932,1,-30.901804390435974,18.57286129020266,-0.57208574,-4.3483167,5.332051,-2.089409
SRR053636,D,1,0.0912,1,-30.928412687470438,18.61216040603501,-1.1216582,-4.16532,5.303735,-2.0971098
SRR053637,D,1,0.0926,1,-30.93461437155735,18.608120175130622,-1.2869314,-4.6970534,4.6731377,-2.6920414
SRR053638,D,1,0.0914,1,-30.959914590405987,18.54257913103059,-2.5087008,-4.74551,6.5272107,-3.9567928
SRR053639,D,1,0.1056,1,-30.950173774471825,18.590235030620345,-0.90179557,-5.334079,5.47334,-2.428162
SRR053666,D,1,0.11,1,-31.25869627011252,18.571674560876946,-0.1475652,-3.4324968,5.56809,-2.287465
SRR053667,D,1,0.1084,1,-30.807994457909487,18.5589786736755,-2.1694584,-3.508528,5.01535,-3.019915
